ID_PARCEL;SURF_PARC;CODE_CULTU;CODE_GROUP;TYPE;ID_EXPL;EPAIS;MAXSTORAGE;RU;ARGILE;LIMON;SABLE;CONDHYDRO;FILTSOIL;TYPESOIL;CODE_ASA;ID_CULTU;ID_TYPE;ID_TYPESOI;ID_ASA;ID_FARM;CLASS_CULT
379159;0,46;PPH;18;Gravitaire;005-16913;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;149;1;1;1;16;4
377156;0,97;PTR;19;Gravitaire;005-16913;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;151;1;1;1;16;4
377354;0,17;PRL;18;Gravitaire;005-15487;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;150;1;1;1;3;4
417443;0,55;BTH;1;Gravitaire;005-16479;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;1;1;1;1;12;8
417444;0,39;PPH;18;Gravitaire;005-16479;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;149;1;1;1;12;4
377161;0,6;BTH;1;Gravitaire;005-16913;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;1;1;1;1;16;8
379147;0,14;PRL;18;Gravitaire;005-16913;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;150;1;1;1;16;4
377158;0,2;BTH;1;Gravitaire;005-16913;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;1;1;1;1;16;8
377342;0,4;SA6;16;Gravitaire;005-16913;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;130;1;1;1;16;2
417448;0,45;BTH;1;Gravitaire;005-16913;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;1;1;1;1;16;8
377339;0,6;SA6;16;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;130;1;1;1;11;2
417367;0,52;PRL;18;Gravitaire;005-16913;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;150;1;1;1;16;4
376888;1,01;AVH;4;Gravitaire;005-16913;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;8;1;1;1;16;8
365760;0,65;MIS;2;Gravitaire;005-16292;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;5;1;1;1;10;3
365759;2,18;PWT;20;Gravitaire;005-16292;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;171;1;1;1;10;5
435575;0,18;J5M;11;Gravitaire;005-15733;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;68;1;1;1;5;7
371468;0,23;PPH;18;Gravitaire;005-15733;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;149;1;1;1;5;4
376461;0,77;PRL;18;Gravitaire;005-15476;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;150;1;1;1;2;4
376634;1,64;LU6;16;Gravitaire;005-16479;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;103;1;1;1;12;2
