ID_PARCEL;SURF_PARC;CODE_CULTU;CODE_GROUP;TYPE;ID_EXPL;EPAIS;MAXSTORAGE;RU;ARGILE;LIMON;SABLE;CONDHYDRO;FILTSOIL;TYPESOIL
420673;0,14;ORH;3;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420674;0,16;ORH;3;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420594;0,19;PTR;19;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420525;0,24;PTR;19;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420602;0,77;EPE;4;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
9468153;4,02;AVP;4;0;005-16774;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
9468154;3,13;MCR;4;0;005-16774;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
398739;0,84;PTR;19;0;005-16774;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
365757;0,64;VRG;20;0;005-16292;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
365758;1,44;PWT;20;0;005-16292;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
365761;0,7;VRG;20;0;005-16292;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
395071;1,86;BTH;1;0;005-16269;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
395152;0,53;BTH;1;0;005-16269;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
374944;1,5;EPE;4;0;005-15487;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
375025;1,06;BTH;1;0;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
374957;0,99;PPH;18;0;005-15487;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
374953;1,06;PTR;19;0;005-15487;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
374950;0,34;PTR;19;0;005-16913;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
374959;0,12;PPH;18;0;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
374942;0,28;PPH;18;0;005-15820;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
374946;0,4;PPH;18;0;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
405604;0,73;PRL;18;0;005-15895;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
405602;0,18;PRL;18;0;005-15895;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
405603;0,73;PRL;18;0;005-15895;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
412180;0,5;MLG;16;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
412430;10,32;PPH;18;0;005-16147;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
412438;1,95;PPH;18;0;005-16147;114,8;576,9;168;31,2;53,1;15,7;6253,6;0;LIMON
420516;0,19;PTR;19;0;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420609;0,93;TR6;16;0;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420597;0,28;EPE;4;0;005-16465;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
420596;0,09;PTR;19;0;005-16465;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
420675;0,3;EPE;4;0;005-16465;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
420428;0,22;PPH;18;0;005-16465;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
420429;2,29;LU6;16;0;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420590;1,43;LU6;16;0;005-16479;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420605;0,28;LU6;16;0;005-16465;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
420604;0,51;LU6;16;0;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420611;1,22;LU6;16;0;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420588;1,49;LU6;16;0;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
430853;18,08;BOP;17;0;005-15698;44,4;195,8;59;27,3;47,8;10;3136,2;0;LIMON
9471070;182,34;BOP;17;0;005-15698;44,4;195,8;59;27,3;47,8;10;3136,2;0;LIMON
430854;8,35;SPH;17;0;005-15698;44,4;195,8;59;27,3;47,8;10;3136,2;0;LIMON
377139;0,09;BOP;17;0;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
377137;0,12;BOP;17;0;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
377138;1,82;PPH;18;0;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
9471171;0,58;SPH;17;0;005-16913;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
369098;1,22;PRL;18;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369383;1,72;PTR;19;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369384;12,61;BOP;17;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369282;0,31;TTH;4;0;005-16774;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369195;1,38;BTH;1;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
